"證券代碼	簡稱	年月日	收盤價(元)"
"0056   	元大高股息   	20080721	    12.1005"
"0056   	元大高股息   	20080722	    12.0553"
"0056   	元大高股息   	20080723	    12.5080"
"0056   	元大高股息   	20080724	    12.5590"
"0056   	元大高股息   	20080725	    12.4401"
"0056   	元大高股息   	20080729	    12.1685"
"0056   	元大高股息   	20080730	    12.2817"
"0056   	元大高股息   	20080731	    12.1515"
"0056   	元大高股息   	20080801	    12.0722"
"0056   	元大高股息   	20080804	    11.9930"
"0056   	元大高股息   	20080805	    11.7836"
"0056   	元大高股息   	20080806	    11.9817"
"0056   	元大高股息   	20080807	    11.9421"
"0056   	元大高股息   	20080808	    12.1402"
"0056   	元大高股息   	20080811	    12.3439"
"0056   	元大高股息   	20080812	    12.3439"
"0056   	元大高股息   	20080813	    12.4062"
"0056   	元大高股息   	20080814	    12.6269"
"0056   	元大高股息   	20080815	    12.4232"
"0056   	元大高股息   	20080818	    12.2251"
"0056   	元大高股息   	20080819	    12.1854"
"0056   	元大高股息   	20080820	    12.2251"
"0056   	元大高股息   	20080821	    12.0609"
"0056   	元大高股息   	20080822	    12.0553"
"0056   	元大高股息   	20080825	    12.1685"
"0056   	元大高股息   	20080826	    12.1119"
"0056   	元大高股息   	20080827	    12.3043"
"0056   	元大高股息   	20080828	    12.3383"
"0056   	元大高股息   	20080829	    12.3949"
"0056   	元大高股息   	20080901	    12.1288"
"0056   	元大高股息   	20080902	    12.0836"
"0056   	元大高股息   	20080903	    11.7383"
"0056   	元大高股息   	20080904	    11.3761"
"0056   	元大高股息   	20080905	    11.0931"
"0056   	元大高股息   	20080908	    11.8289"
"0056   	元大高股息   	20080909	    11.2629"
"0056   	元大高股息   	20080910	    11.3365"
"0056   	元大高股息   	20080911	    10.9007"
"0056   	元大高股息   	20080912	    10.9290"
"0056   	元大高股息   	20080915	    10.4139"
"0056   	元大高股息   	20080916	     9.7631"
"0056   	元大高股息   	20080917	     9.8932"
"0056   	元大高股息   	20080918	     9.5084"
"0056   	元大高股息   	20080919	    10.1706"
"0056   	元大高股息   	20080922	    10.4592"
"0056   	元大高股息   	20080923	    10.4932"
"0056   	元大高股息   	20080924	    10.4932"
"0056   	元大高股息   	20080925	    10.3687"
